plz1;plz2;Distanz_convert_in_km
70469;71711;20.3879
04109;93354;289.975
34388;95236;226.503
31606;41063;214.872
60318;82335;310.848
29413;99448;217.726
34626;51645;126.807
22175;86975;657.943
01762;31600;378.339
10629;56112;462.249
31619;49596;74.2135
63801;93356;247.127
29594;85107;469.21
35288;42109;130.143
20257;38486;133.134
66903;86701;291.028
66359;78583;196.234
61130;80339;303.249
86579;90419;100.658
10625;78667;585.5
24797;27478;68.7987
03051;76703;495.283
24816;41464;389.084
63911;74206;59.7348
34414;91361;248.026
50670;86150;404.284
44369;53474;113.963
24398;79183;739.819
29472;82499;623.593
22395;53227;385.372
34131;67748;220.029
76139;83530;308.703
29336;54344;385.53
94267;94532;50.9605
30459;99195;168.925
25879;38387;276.917
31737;54441;339.511
94562;97249;247.819
03172;76872;556.083
09114;71579;320.939
08626;49751;428.151
76456;85395;256.99
35390;86633;274.063
29596;35463;283.35
82327;91367;190.792
15758;76470;542.838
67591;81669;299.267
21335;35279;275.901
24634;60488;441.925
67169;91522;175.837
73061;87764;105.893
51145;77889;267.885
39649;97320;313.014
35114;87679;368.237
06464;74369;350.564
22087;82340;631.529
24161;87527;766.686
76879;97478;186.465
23569;49835;287.424
04463;26556;428.444
29364;96129;300.972
87509;95704;292.218
26386;97249;438.742
17349;54306;627.159
04105;97906;269.248
37216;82387;409.621
39649;87648;521.791
12047;21365;218.715
15752;94155;401.186
74731;97225;45.9483
41462;56457;116.511
26487;47137;239.18
67434;89355;193.132
14163;15230;90.0737
16247;82279;576.46
20355;22085;3.01087
54492;74343;178.432
21689;91604;456.144
47239;51428;60.3958
58791;64673;180.925
07356;96106;75.0131
06237;83539;362.103
49824;65375;296.818
08648;78351;358.976
22335;77784;598.161
27576;85298;596.933
40547;73442;370.125
23866;52399;408.954
28879;45145;237.554
55118;74594;170.138
59192;83339;542.168
38486;44227;282.563
57648;94491;427.117
33178;97497;225.036
33034;81549;438.197
53859;74572;267.445
23744;35630;429.965
17159;39261;221.825
75228;89191;91.746
04749;54497;455.695
20095;41236;359.341
60388;96257;174.888
92367;97769;166.623
54687;97947;255.898
89440;94431;154.249
35428;56357;63.2791
83737;88319;137.558
77793;79117;39.6286
24326;78713;668.433
38179;63633;232.304
06688;87659;417.944
36329;50825;163.66
37412;88693;433.136
86453;94372;135.419
39319;45356;364.519
27751;87650;584.692
21256;38173;129.717
60488;86650;206.378
22889;38889;226.496
17391;76777;636.273
42655;99094;276.408
41068;54529;137.084
16540;22159;235.864
78532;94154;348.353
42399;65388;137.841
84085;91598;134.503
28239;77723;528.528
21109;88147;653.465
67707;96050;239.742
92242;94354;81.7816
06464;33813;186.598
79822;81375;246.116
06388;98631;171.977
01987;06727;128.514
67734;76131;76.8669
37632;86872;420.34
06571;86663;292.945
07557;21385;284.251
04109;19243;257.739
52223;75335;272.874
24852;90559;601.991
06571;27639;334.007
48151;79688;474.348
55252;83512;359.819
27442;73568;506.073
54523;83101;457.163
57645;83122;453.705
24340;37639;288.341
79211;90480;283.26
76846;97794;164.559
67759;90542;253.15
65551;77790;233.006
57578;63546;95.4661
06578;86647;300.513
38154;44339;242.836
54451;91605;263.627
06456;97261;234.375
20097;55765;477.425
67468;79395;179.021
33184;38533;128.068
82239;85521;29.5879
10777;67728;504.516
44623;65795;187.396
71384;87544;155.215
04651;22179;325.82
25421;85290;567.31
29565;63931;388.479
21400;58809;287.134
66701;68163;127.545
34277;83109;416.176
71088;92286;225.064
01465;89077;413.944
45145;56077;129.699
24327;74193;581.795
28844;91244;424.443
25776;83346;766.783
83676;86756;152.756
21360;32120;170.264
23968;29590;111.99
12355;45699;445.067
15758;72664;519.933
63679;74589;160.138
27628;28719;22.7843
23669;35325;391.74
49456;64295;322.637
06729;78601;413.559
16552;86694;469.105
21723;81825;627.683
09241;53508;407.392
01900;92266;249.126
48351;66352;313.005
09405;95236;118.078
37191;74586;288.189
15344;48455;462.495
35435;83620;383.516
97525;99087;127.277
21745;45479;297.635
19209;94356;528.093
07349;66352;362.131
17255;97422;400.837
25927;73494;658.471
29359;85221;501.408
07646;24768;410.185
04931;58239;394.041
04824;13469;153.38
79713;94167;406.762
35392;83134;392.117
48301;78132;419.159
33449;45899;92.6332
71732;94539;282.259
27356;85459;555.8
47652;69437;320.904
26632;63263;383.585
52066;84428;523.788
32427;83457;586.164
09603;47239;463.998
29633;34630;238.866
57399;88255;374.992
32049;96166;271.559
74740;99099;212.266
13053;92694;340.459
24259;96050;494.372
06484;65931;266.353
49196;52445;168.396
24114;42281;390.241
38329;96199;236.096
56579;56828;49.6603
09573;94078;223.736
65529;94104;403.059
56459;74177;173.572
79692;92548;373.668
36364;53539;188.349
87487;96148;254.676
73579;80689;141.546
65197;91610;164.637
69254;72469;120.974
39240;89446;374.774
09120;67753;399.313
27432;48499;175.063
72189;83543;259.661
22889;45657;306.484
73760;96142;200.045
76599;85055;226.609
16225;88368;626.623
10625;95145;268.695
90537;94447;139.477
93183;94169;107.658
60318;87663;303.772
36041;49086;217.375
25572;31832;193.868
14129;63691;372.846
22958;88048;658.358
36358;66917;190.987
75378;89347;117.575
09125;39524;216.111
06632;67744;344.456
48527;83370;632.476
88046;95478;302.028
74670;97779;115.923
96352;97846;136.399
34593;92272;243.741
74676;84051;203.655
56567;81369;395.781
13088;79682;663.85
27324;87487;563.976
04460;13057;176.085
69118;82418;264.103
78592;91807;179.577
66484;84307;398.481
04916;22115;287.648
14641;91637;418.18
63920;89233;162.581
14712;20097;187.821
34621;79736;384.161
25591;86825;668.868
06343;65555;268.297
27729;75245;486.172
49596;53819;197.467
18273;37284;336.232
17459;55491;651.896
50739;91235;359.801
50677;71144;295.743
19300;26826;285.346
10317;47178;476.952
38459;99636;133.403
02794;66969;538.852
48291;66131;312.216
47608;63584;245.329
24955;84405;752.2
60325;89601;206.453
46045;55583;197.629
88370;89257;57.3096
24392;38822;311.445
01069;23552;376.904
08066;38312;204.54
50127;87781;417.278
39356;45479;309.696
44628;95519;373.015
12347;26215;369.087
09405;99330;159.938
72406;99628;361.627
66453;87629;307.124
73337;96250;183.274
08267;97453;150.301
56828;95643;381.088
04639;85417;278.412
67105;77963;121.902
10965;78141;612.139
56579;95509;298.892
38120;71065;406.38
17217;35305;429.263
36251;76530;260.116
27374;27755;62.3783
63808;82291;241.298
15320;44894;490.745
79286;92715;365.731
39104;74399;388.575
38444;97350;299.61
91463;97816;86.5959
47137;70374;344.802
04463;06311;75.5867
29588;96361;290.898
14197;52531;526.335
66287;89542;241.335
09131;45279;414.043
58135;96247;290.715
23747;99518;350.841
31029;97295;256.255
55491;67598;71.2726
10435;50829;483.202
34298;67373;233.556
41541;85053;425.247
24972;36211;416.374
55271;66265;106.618
04821;91474;242.509
31785;74930;325.331
49201;99762;193.177
14770;61200;339.787
39596;57489;342.084
27576;91235;483.552
54292;78559;236.806
24242;91602;580.488
56218;90559;298.845
52393;88271;386.532
40589;91475;322.236
10559;23749;244.643
27570;83101;686.092
27318;78224;565.695
31157;39444;122.592
12047;94342;410.096
26487;92269;558.988
12555;88377;587.645
36282;61479;116.216
79189;97447;293.378
67744;82447;342.432
25795;91586;565.632
22605;93152;524.648
03246;32427;342.761
07957;97638;129.234
12489;30926;270.052
61130;76779;150.693
75438;79677;152.193
04860;65195;371.748
28870;74429;465.126
12157;83093;513.267
27321;79691;579.925
83093;97783;301.997
14797;80804;469.15
79591;88453;190.14
87657;94556;258.125
86381;93107;149.598
22113;37640;185.999
08371;69118;312.647
63699;88477;246.562
06464;74252;334.297
33104;86738;348.872
49076;58135;112.568
48167;63934;263.245
41540;76597;280.716
94089;94548;37.5663
16909;79400;697.154
56859;94550;458.13
86447;94255;165.63
47627;66280;265.521
19089;78176;676.058
21279;76779;500.45
04435;66440;427.913
22523;92721;459.65
35315;98596;98.9816
04277;63856;265.569
24536;93138;577.369
56335;75446;186.625
06255;69437;292.022
66976;83242;400.395
13507;72664;526.756
78354;83533;228.937
56823;78597;271.091
17194;52062;540.855
08315;29386;281.712
17036;86556;580.294
56370;81249;343.228
22965;46397;321.051
06118;86974;411.09
17438;18069;112.751
28355;91238;440.873
41748;88529;400.23
38322;86747;349.458
63688;95511;172.893
22559;53577;368.142
06636;26427;383.534
06536;36275;128.587
26954;49074;138.221
97270;97491;64.1687
06198;35282;216.014
29308;38459;84.224
60385;66849;115.283
21423;74677;445.25
41540;84432;485.79
12279;32361;330.261
07554;87736;362.931
01683;56861;456.381
38528;82284;477.511
56427;56821;56.7136
22869;65375;415.731
21502;77855;560.112
24783;26340;151.251
15898;32130;415.21
13505;74912;480.945
40885;72513;390.302
17454;89353;664.135
25792;67471;549.401
37603;49497;132.49
34125;92266;279.297
31719;35687;194.93
22145;25376;55.2567
08223;91583;198.396
25371;95163;430.872
28329;44309;194.915
28307;91077;410.024
45475;71157;349.091
84034;91726;129.495
21439;77960;575.985
04347;46354;390.496
75323;82335;227.169
65375;97483;192.007
09423;45964;428.231
17379;85764;623.798
79227;96231;338.027
73492;73667;37.2049
06543;37586;114.9
27777;67305;394.739
82065;84048;72.5956
91239;97840;138.205
85757;89611;140.731
50931;90542;340.659
26655;65474;366.285
04643;47839;429.494
21720;99091;298.249
22175;23867;22.1392
25579;82194;656.894
32839;89299;415.026
22397;79426;674.036
52441;67819;184.355
08543;94379;178.69
72827;87496;116.788
70569;97461;187.327
46569;48531;92.2717
53505;79874;299.787
85107;86356;58.4461
04779;15848;131.642
39646;73102;422.906
40237;97494;286.739
09399;53949;443.425
35305;71296;199.773
37444;93471;336.271
72539;73252;32.3164
14728;36284;273.664
85229;97256;181.279
79599;97070;290.447
49477;82340;545.783
04416;71549;329.718
04575;28307;314.983
41749;82389;517.884
03055;56566;497.705
75389;95192;292.656
63599;89165;223.799
06388;09633;128.796
63071;67480;102.793
46487;78736;408.2
71254;83553;240.586
29439;91278;358.727
09468;55424;365.924
03058;74321;483.103
37308;84101;330.139
48565;55452;251.232
83339;86562;122.97
35392;80636;339.19
23923;58091;361.989
09212;29389;261.537
17091;24409;240.588
23812;93167;562.828
13057;53508;506.437
07318;66976;306.393
21403;55497;409.734
85579;86899;58.4606
48317;56653;157.392
66399;87763;261.125
03238;20354;333.31
29336;84332;496.848
51373;56751;85.4174
22961;26419;157.338
08118;97230;210.89
06132;91249;216.201
55569;66538;60.3359
57583;89568;289.754
35638;79254;295.99
24245;24326;15.3819
21765;94145;647.161
60486;63697;48.7707
42929;66111;209.403
29593;88525;545.993
40489;85296;455.989
17235;75394;598.922
44263;79353;375.401
74376;89180;76.3879
97332;99638;165.712
06909;45136;398.531
26723;84323;673.488
50181;65843;170.944
21527;97237;419.93
55571;89537;223.49
50935;79688;366.735
30539;86453;447.18
56377;99631;249.8
26382;79777;645.376
18528;75249;692.245
17424;76829;673.913
04155;91242;219.069
60549;97909;65.275
09394;52062;463.929
23701;54539;524.313
24259;38704;255.077
18510;22119;205.224
32361;34355;133.631
86754;97288;103.794
02999;56637;507.246
31840;87600;486.651
14478;35037;347.624
33014;92449;351.996
29640;93179;486.105
74743;76779;100.455
73488;78580;140.316
79286;86943;223.364
39221;66509;425.098
21224;91091;425.269
08129;71364;304.979
48161;55499;227.718
75249;87668;177.52
49439;87789;539.01
17129;29308;261.118
22309;27777;118.999
37287;66919;265.31
49219;85452;504.048
66693;72149;203.146
85465;90613;139.094
40229;67308;196.385
07955;95364;68.3154
06724;80686;323.297
59558;85435;452.015
03119;15752;75.7974
85411;94553;105.074
31553;57319;160.956
36286;58513;138.147
28203;38704;160.192
35099;91486;202.565
25785;74831;540.825
49740;79369;502.015
72359;97461;247.881
79114;97215;245.217
95517;97842;146.566
14548;36325;320.532
40468;50676;39.5377
73479;73550;35.2278
77791;91359;274.801
29575;38895;144.397
45721;71729;347.403
34311;98631;127.968
67655;89233;205.119
06548;54296;364.122
15324;91481;426.54
70619;94149;290.697
09557;84432;283.883
24340;93049;625.254
78269;95488;303.473
01734;86701;309.404
03205;67547;457.688
18320;54636;633.287
40723;93413;461.761
56355;95506;293.729
31693;95682;328.2
15370;99439;235.618
63263;98599;153.467
10783;63874;407.116
18556;38554;296.197
08496;95482;76.3617
34513;91052;232.086
24238;53757;447.191
55271;86529;269.643
87484;91099;231.112
08124;88709;404.984
29399;91626;389.942
31089;98617;168.147
27638;97892;434.526
33824;77855;385.082
57648;77871;229.206
74928;81541;226.487
97505;99765;165.404
72224;86154;163.977
31099;79263;452.511
26487;84539;682.8
84092;94356;31.9419
67681;94227;396.34
