plz1;plz2;Distanz_convert_in_km
54689;73114;299.775
08058;33333;311.47
55442;74834;121.82
08064;24226;439.305
25881;85235;694.809
18211;29367;185.066
38533;78089;501.842
67724;69439;90.7661
25845;54487;532.639
56254;67715;99.8169
23623;82435;702.35
63639;89355;192.719
18246;98711;371.387
96185;96268;58.3335
67575;92543;282.006
48308;87534;515.99
13509;95691;287.828
45772;89435;415.215
51469;84155;477.345
14728;99706;183.663
03246;97794;343.004
84431;88454;190.68
03048;90542;324.118
21734;51789;332.832
31139;60589;242.011
30163;56068;272.3
09437;74542;293.944
86641;87666;85.534
49808;91489;408.843
10119;48619;432.057
37296;87647;371.152
51429;74182;257.772
09232;97711;194.352
74080;95493;214.143
56856;75438;159.402
79877;91746;225.575
16775;29643;232.903
73061;88637;84.4738
33189;84097;410.793
74909;82418;253.819
24613;90425;519.646
54411;92724;354.617
67822;79252;190.794
23911;74420;525.209
85258;90518;111.847
47249;78187;410.362
06348;88518;421.959
29362;86559;474.451
18195;96264;443.414
40235;97705;246.418
21712;75334;541.23
48477;83024;588.977
18106;99102;362.904
23566;55490;497.526
24107;35460;418.658
25840;91587;554.774
32756;82380;487.178
38102;66129;421.541
07607;91626;235.277
29593;67158;420.02
34121;82279;377.322
21279;38312;152.17
86438;92283;126.226
26489;65843;393.618
57482;96161;231.97
22117;99880;295.628
18465;93105;567.388
56333;94342;410.324
32832;56850;241.767
33699;71576;345.022
19209;91483;438.043
42853;94164;545.66
58802;93494;410.978
26909;97840;375.25
36277;52249;249.894
23611;80469;648.37
07338;13407;256.163
52355;69207;224.045
66953;86744;221.069
22149;54597;455.034
67127;88719;208.136
29593;96197;340.243
21407;36280;269.024
17109;73499;576.625
06193;21444;219.623
10178;86946;538.289
27330;88416;528.221
55546;97237;132.144
24558;74653;500.138
31832;71679;367.728
67697;83374;395.042
34396;35686;113.296
64658;86391;207.377
67434;79594;196.518
28195;66583;434.975
10589;97647;314.844
54314;92287;380.378
30966;57647;225.252
91722;94227;192.924
01257;45470;483.473
35444;45473;147.578
06408;86456;374.927
64625;65594;87.4992
39539;56179;412.881
15711;35116;378.604
35713;79111;316.446
03116;26847;479.233
21380;74924;466.033
04425;89438;350.465
21717;48493;202.897
35689;36039;96.3746
07958;54421;385.951
77728;80636;251.575
29593;84564;539.49
86470;92442;170.836
67361;87439;225.149
92360;95188;135.015
29399;93179;413.208
38554;55758;383.675
57234;89428;288.05
87538;96515;334.92
01855;31710;385.298
73765;89605;53.0025
22455;93047;536.156
25371;31097;192.679
45529;50735;44.4259
32609;36093;209.169
01723;72189;461.054
30449;84032;455.568
65611;87466;343.557
76534;87437;189.366
27446;72365;580.342
17259;40223;517.87
52159;71063;295.339
79697;97877;255.328
17091;74076;568.818
14557;91327;310.032
87490;91747;136.528
06259;77876;409.118
35625;61479;35.0606
10827;53534;509.642
04774;85376;348.802
38554;46282;271.82
21684;44139;267.69
17089;44797;485.578
16278;31008;309.209
13156;84424;498.054
65618;88045;311.316
35576;86874;312.349
88450;94491;236.134
37639;91207;290.532
04808;84359;345.444
65195;87642;338.418
49086;70378;389.25
84181;97239;204.504
22889;97778;403.061
04158;96352;136.593
75438;88444;133.231
74749;86875;190.863
76777;91478;153.797
35794;94513;417.701
69502;70193;97.3202
57587;91074;263.508
75391;85395;214.407
78603;82194;184.913
23942;52156;497.108
09355;35043;275.166
22359;73105;559.373
48739;71069;394.393
07549;21272;294.902
63863;97714;70.4863
74706;83552;264.507
10965;14195;8.83942
34537;60388;107.068
22767;29482;95.4932
54687;88090;350.874
04177;44627;352.446
36100;65817;108.486
39120;94249;350.943
04329;88471;395.588
72299;94121;361.855
45219;84565;535.677
51519;53177;41.5276
74405;99086;240.03
37688;97711;176.516
70374;73728;9.15131
24632;99089;328.821
28215;99891;272.6
31715;92277;387.713
47803;84428;534.152
63916;78585;171.563
47626;93093;508.087
38388;85459;422.909
37127;85129;323.194
94363;97461;215.308
67482;95676;296.134
42657;64397;195.39
08547;61476;260.193
86483;95706;241.139
02943;38124;294.729
87662;97337;218.313
27793;94209;546.867
25718;83083;725.051
63549;87544;313.659
42477;67157;206.788
67063;94167;373.646
01920;79793;580.631
29353;83256;548.946
15328;92444;384.652
38557;45891;266.283
24610;96346;429.192
04523;36341;209.924
24939;38179;281.631
14513;18435;216.846
71640;79359;138.728
52064;53539;77.6165
34431;97461;188.29
54294;83413;494.775
67165;91154;194.182
50170;69259;219.794
23560;45289;357.391
55296;77886;141.305
34346;87751;379.343
37194;72581;346.972
35102;84533;412.827
53123;79331;293.787
09127;63579;282.813
78054;92263;294.428
22952;23717;61.511
22179;85567;634.397
02625;24878;490.223
16230;34359;325.443
70193;83308;266.042
03238;91583;355.859
81673;86919;43.5848
21769;51149;331.472
09120;78465;438.965
72160;94262;316.009
24643;26188;160.149
72291;78086;40.1905
27616;56745;357.662
42119;63928;234.249
79288;92286;338.908
74632;93194;203.71
06254;74214;289.316
56322;91809;296.753
07356;09249;100.997
53949;93128;427.252
83674;87757;100.071
79695;97531;305.987
70195;95355;238.537
71069;92724;245.064
25368;93352;581.431
36115;47802;256.902
67136;92699;283.978
78267;88142;65.2153
63695;69239;100.504
47574;94072;635.031
22179;26835;167.442
49681;97475;370.958
06317;79256;470.757
63741;64760;5.56668e+009
01239;93336;280.406
31636;87772;503.302
26817;73630;497.152
67706;88250;225.419
59423;75382;321.432
34560;94553;360.854
54340;97834;207.227
07955;56462;276.91
08451;86978;345.84
01900;95367;212.835
37079;46514;209.564
06254;42579;358.557
25358;41540;359.889
14469;91726;416.202
04838;74912;366.391
07778;31711;224.78
63874;72636;141.407
29525;75245;464.148
34346;96524;164.924
04317;38459;150.584
45259;56564;111.999
23684;67663;550.28
08118;83317;313.028
95028;95701;43.0769
09548;26676;479.743
80634;94577;131.673
31707;55444;273.092
50171;91635;305.386
34305;82205;373.961
22287;22956;25.8108
37077;97355;202.918
12105;91468;368.019
30890;78564;467.829
79807;82343;205.845
04317;54309;443.725
17033;79100;725.591
56626;91799;307.407
09385;34613;250.47
55432;82362;358.303
34466;82393;423.293
54470;67373;117.02
34317;86473;349.79
85129;85258;51.365
34327;53489;177.536
26847;92721;499.421
08393;21365;305.197
14554;68649;426.466
26382;86574;592.049
55481;55595;24.6725
36448;56477;162.772
04435;86923;385.927
41068;52068;50.6348
25370;84424;639.17
29472;57584;347.053
48317;55481;207.735
21709;48485;200.515
66629;88131;282.781
22045;79423;658.513
19217;49176;257.18
08223;25724;449.317
74889;77761;114.483
29399;49744;226.774
20146;97256;432.733
67161;87773;205.632
04519;25725;360.955
17235;17268;40.6918
79725;91238;322.31
76689;95706;286.287
19075;64342;460.305
73110;74582;69.2701
04299;66299;439.461
49696;91056;422.966
06847;09627;133.406
01468;21029;349.587
12349;58332;440.544
01108;67729;452.41
29456;92549;422.449
10435;53894;515.889
19079;57612;409.92
78234;97070;231.333
82399;91468;194.956
09385;54317;439.812
87645;93155;179.999
40227;94428;519.569
26571;84533;731.853
31162;47589;259.925
65626;83674;394.332
91282;99092;149.628
47929;67283;235.336
06528;98596;99.4125
09306;34305;247.154
08373;96328;117.288
06905;76706;413.835
23863;96337;375.11
37339;54290;323.318
67574;74676;104.987
24796;82389;737.033
22763;99428;300.317
07422;24997;463.068
66802;79111;161.674
12679;21403;220.424
84427;99448;300.824
09544;37154;270.074
37299;74248;227.118
22337;37127;239.224
76879;90530;214.946
75447;86577;183.45
26683;26936;56.2384
24582;86494;635.072
04177;72581;379.018
31226;40210;264.328
09579;21723;401.658
15938;64380;411.737
37632;97729;200.803
87474;91799;141.896
56841;91320;293.256
89278;97896;157.426
71116;76359;40.7433
58706;93105;411.623
01731;24217;446.893
73037;97508;148.586
66129;78262;208.826
10367;31789;282.276
34121;86666;311.317
33161;83646;498.524
71711;93356;200.019
73728;84048;180.851
08321;75056;315.726
31088;59889;144.11
64757;67256;50.6013
65558;97717;147.159
67061;94078;378.4
86502;90614;101.801
12589;87435;580.436
06648;09350;88.7779
47179;82285;483.379
86561;99867;272.336
53111;99848;232.753
18258;71384;601.279
33039;45964;149.296
51643;77736;300.855
55257;66981;95.6779
32108;92263;375.122
24107;58566;392.491
67735;83024;370.785
29591;50931;351.626
27628;61350;345.542
01474;74635;362.856
84144;99837;315.22
70176;88167;142.815
49124;63512;245.639
01129;25436;399.153
29352;34471;142.901
23866;74348;529.75
61200;95030;216.644
55450;86825;290.042
49808;56659;232.096
48308;91325;338.499
79206;96369;364.099
73494;89407;60.5934
41061;56329;146.292
24398;67472;599.739
31867;35519;209.189
79280;81249;266.308
06749;44141;336.299
21401;86655;493.929
92367;95336;87.6281
63831;97244;69.0715
22145;91282;447.127
01827;91804;315.947
10317;76744;536.525
39365;95511;250.084
83673;86513;94.3355
29556;94350;457.269
10551;50737;473.338
29614;31595;74.6984
22955;72584;575.901
24259;73450;612.452
12309;30851;250.28
83135;96472;276.776
17438;58710;497.181
45739;91247;380.54
15752;63599;387.647
06128;17291;244.111
53919;86850;387.384
54654;88285;342.426
02796;31655;412.165
06804;56368;347.58
26123;30939;131.479
06420;85120;317.058
24226;87538;770.096
38375;38474;43.1013
63512;96342;169.123
07381;30539;217.991
52068;60326;192.604
38468;67482;409.047
78730;98701;325.535
63863;64823;25.1125
34132;73553;270.808
37139;84189;402.9
35625;70376;193.859
06386;25924;410.69
04936;98667;225.216
35452;89441;255.535
49201;83135;544.614
94140;95326;235.91
66509;88142;243.46
56322;82541;379.298
85304;92533;127.343
04318;94508;291.253
53225;74394;244.903
12557;17111;162.678
24256;66359;613.03
46569;67259;255.108
74722;81829;231.771
04916;86447;396.761
12307;91174;397.859
53902;86494;360.101
26389;79426;631.889
04643;91749;273.782
76709;98743;239.413
17367;92278;497.005
24113;53579;451.955
83487;93462;168.532
25729;90461;532.087
09380;91364;151.873
25864;45529;387.5
74673;82499;228.417
85579;96247;237.022
01945;60316;392.71
59174;95361;316.807
30159;69242;355.233
21502;67159;469.426
35288;64807;114.65
24364;25859;87.6735
59964;93161;342.063
39599;67480;444.682
09623;88371;423.506
04655;91592;249.164
85604;87733;106.6
30169;91241;332.824
40237;64747;223.225
88459;97469;225.269
33613;72076;391.594
16792;52538;554.324
42899;76131;258.352
38368;87497;526.065
24638;84056;609.974
02906;93339;337.681
22119;81737;616.985
22949;73776;555.968
49685;89561;488.222
84104;84168;50.7942
29485;38547;71.103
04105;92265;202.386
33034;78256;436.37
22115;99819;287.498
75438;85625;256.846
21397;91583;435.736
29487;86494;496.266
56861;66299;77.2426
17424;77746;750.553
09397;65239;318.842
27313;91275;386.931
21360;25855;164.75
64380;89347;193.349
37215;74399;259.934
17279;24259;254.572
18317;84524;674.933
56179;73571;236.892
15859;16827;111.269
56428;63773;111.272
12351;90429;372.322
56332;65399;49.1405
79369;93183;334.932
23556;73230;587.825
25715;74746;486.72
35315;95659;237.795
93444;98597;254.022
21406;89250;538.553
04207;38122;160.596
67363;73730;95.7155
31627;95119;315.877
24395;29303;216.853
18147;45527;450.443
06493;58513;247.773
82299;95349;211.887
30163;75172;397.534
54455;63868;185.254
24813;95126;476.627
21723;48624;230.635
87484;92259;228.632
04613;77963;447.026
09306;47625;459.031
36460;53227;207.548
15326;48529;503.719
91802;99869;215.677
80993;88487;120.59
32139;42699;148.775
21368;85764;552.913
72644;97262;150.261
01279;60316;376.602
82347;92539;206.07
87758;97828;219.76
66509;89551;197.556
06547;91189;249.273
22952;24643;30.9866
07950;65618;266.306
93102;96146;136.264
53489;74246;212.255
04827;30521;220.96
12161;33613;331.232
67585;99310;226.113
10967;20095;257.458
27616;96272;401.369
75428;82057;217.986
95168;98554;116.211
13129;29549;200.752
42285;57072;70.5096
74417;91728;71.071
33181;55437;185.75
31621;93192;455.492
73488;87730;126.656
37339;75335;324.141
25799;87727;679.713
06114;10439;153.508
24873;50674;449.332
88167;91578;188.072
92697;97450;178.41
53783;75242;237.43
50769;68229;216.227
49809;74746;358.199
34270;60594;138.585
35463;99610;181.384
25813;58453;355.764
22359;40221;358.006
08527;25585;445.744
09120;87781;366.744
32657;87772;449.467
31613;40789;232.413
04159;21438;264.72
48151;83339;570.117
17498;22529;229.355
95700;98596;145.114
25729;54341;502.636
21522;38102;121.897
24808;73779;614.392
17358;35260;461.891
25358;67150;499.481
07407;78600;348.556
42119;81547;472.918
31035;59427;157.198
56736;86833;349.781
16818;94501;486.597
25868;85635;726.57
79241;85622;304.119
18461;91443;527.15
37170;76889;308.827
59071;70182;335.435
10627;84518;489.348
34134;53359;191.293
24589;88326;694.788
34479;36041;102.477
08304;66916;393.165
09526;24629;417.438
06774;74076;362.296
85567;86984;93.6378
08459;29590;271.068
35582;92526;300.741
57555;66871;149.524
47443;65326;168.382
50829;51766;38.8351
24941;79540;805.598
21629;32108;165.311
02782;24887;534.388
67304;78597;177.954
21379;89186;561.311
35689;83359;448.407
59519;74744;243.781
51643;93077;399.102
09629;31787;305.312
21726;50226;341.046
26465;67363;505.142
06231;95239;131.801
19386;91799;514.782
27356;91257;404.471
16248;91287;401.217
34130;71154;303.357
32839;59425;99.4127
18439;79589;833.841
65604;94513;422.059
24876;37431;326.708
18461;24220;180.673
01847;08269;127.924
45879;87437;479.862
31020;79336;447.327
23845;47179;350.106
17309;85296;572.501
25799;97778;454.804
22949;94526;570.973
71131;80335;210.235
26903;79669;587.461
34439;38126;122.771
35096;76275;204.403
83550;97702;284.178
06632;37127;143.617
35759;93083;341.592
50668;91174;344.447
37520;54456;354.976
15537;73105;509.723
53945;66955;152.252
28207;96142;386.049
67591;71384;125.851
18469;89191;671.428
24944;38106;290.241
28199;78345;595.51
31185;44625;217.119
03044;86165;450.479
85464;97839;245.942
35792;97904;115.139
21227;98744;317.185
77880;94569;344.361
03197;73114;496.777
35719;95482;247.211
85464;86529;56.276
07589;24885;455.743
53347;93173;412.732
94255;97516;211.284
29664;70190;451.916
30159;75328;405.823
09113;74193;336.853
71554;87466;157.604
23816;48147;273.942
08496;25599;409.053
75228;93164;236.438
84427;88367;206.423
81669;92263;143.468
53426;67734;115.217
34537;96194;180.328
06808;95234;164.045
32760;34123;81.5939
09326;23948;341.036
23909;32689;213.847
71640;88271;117.245
06255;66987;379.638
20355;25797;92.7885
26133;86877;567.766
10711;78359;604.268
42111;55131;166.044
79837;94139;433.414
82234;92289;150.043
34621;65345;131.45
67686;85221;312.423
57581;86567;367.943
54539;86519;304.907
06577;63505;197.278
24879;79426;758.643
36043;94149;345.637
66501;88364;239.07
21227;24257;118.845
68753;84529;335.655
03058;85659;427.777
24873;31711;271.739
15324;69253;526.35
23566;23689;12.4832
91802;92262;74.964
18507;56305;536.964
49453;89335;486.843
33178;56754;191.649
25884;60311;498.887
22159;67281;474.898
24996;89343;705.712
35767;49401;205.458
54429;87773;300.168
25821;63636;479.424
07586;86577;285.496
82211;95466;223.448
56281;88175;332.123
96369;99189;103.221
08539;95346;51.6854
10405;10707;8.58363
01762;06237;124.829
07616;64521;261.331
84416;91802;124.201
90762;92721;92.2118
56587;92551;353.834
40479;96145;306.559
24232;35239;407.11
37355;95336;154.68
72461;89150;55.2597
71739;92367;188.637
74653;83626;217.708
73491;99768;302.085
45131;72585;358.179
06642;34270;153.311
76133;94469;335.541
09306;54343;448.839
21371;71634;491.977
86502;94036;197.22
24629;86476;613.845
01591;32683;294.81
21643;64397;411.704
02899;79695;620.748
69126;84144;279.489
21712;35585;345.529
09435;95028;89.3587
31162;86477;408.681
58313;73734;328.662
02906;24643;425.781
48159;79689;486.407
24784;71397;598.307
25794;83546;709.569
15324;95346;340.621
36396;58849;151.658
72127;99448;302.274
34466;92265;264.775
56323;93426;375.287
55624;66132;73.6848
23684;67059;529.697
51647;73540;303.309
06578;51377;285.487
45359;93343;447.394
38279;60318;238.051
24996;79227;764.814
36381;51373;196.386
17309;66994;653.047
75245;96231;209.401
86156;89355;35.3916
17493;29379;242.966
83224;89173;207.285
23942;63654;426.328
72474;99848;319.595
85658;87471;111.23
83458;85376;113.022
25795;34125;325.769
51375;67122;205.409
12055;17328;104.872
24784;27321;153.052
03055;66564;569.394
54523;88213;309.002
21029;52156;425.503
13593;63450;397.157
69123;91245;197.679
07613;44137;318.453
84419;97534;244.964
04178;25451;309.614
73207;85229;148.256
29351;58513;243.548
08541;83623;296.515
59425;72458;385.546
22307;37296;279.525
09376;74677;260.385
29499;72149;529.135
41849;93128;480.039
86529;87487;119.204
42105;79809;406.199
27777;91245;428.683
67724;97794;144.46
81543;97237;223.447
21647;63069;376.607
73469;93170;135.937
54311;61197;177.832
04874;80939;377.721
09306;10709;166.182
86650;94556;202.958
03051;24601;388.712
08499;29487;271.172
63864;77886;168.889
26835;83126;700.037
42111;94345;462.817
91469;99843;156.922
56281;83026;419.346
44388;70329;334.723
16552;51469;468.667
63860;79280;251.205
31134;42551;218.053
04249;09212;55.7074
18356;56332;579.359
31787;66482;349.205
47199;76767;298.529
65597;94146;427.963
17309;25581;289.993
25582;72224;604.547
21702;86663;532.545
35753;83313;446.166
03159;52525;599.441
54668;96050;322.815
19376;32805;259.648
75385;97268;137.321
55469;84550;426.16
53508;93464;416.537
55218;67063;57.7152
01609;29331;257.55
52134;97453;313.415
84405;91257;169.363
46145;91054;364.71
16845;85748;515.632
32120;47447;161.376
54610;84149;461.682
87488;87679;30.7405
28719;56862;363.947
41238;74867;266.67
26121;35708;264.594
17389;45529;521.653
04249;68642;327.923
16348;42653;480.138
24819;38899;289.609
67310;79252;170.693
71297;97447;157.257
54293;87666;354.896
38855;65187;267.829
35619;69259;118.151
16244;85119;483.38
34613;97241;129.865
73447;86807;95.9399
24955;90765;601.127
26603;67471;459.933
22043;76479;535.725
29323;59939;172.709
55128;66687;108.298
29320;65388;334.893
27318;91625;411.944
21439;52070;387.748
60313;71636;141.712
34639;41539;183.229
71069;71277;11.5313
24113;48317;318.647
85119;97456;183.265
27472;71106;568.872
35232;78132;295.065
71292;72181;44.9598
01309;28213;408.459
38104;89176;418.87
54534;95361;336.815
46514;80935;515.731
24850;66919;592.921
18273;73337;600.586
06774;96328;183.252
24536;60323;453.313
31785;61239;199.951
22889;48282;244.753
01738;22607;385.877
54296;97500;289.595
46535;96277;348.513
23946;36163;398.578
49451;63768;295.208
21720;29640;49.8985
10825;77756;593.671
31246;54669;379.555
13403;49716;408.345
79292;89520;200.331
94547;96158;205.576
35119;94518;395.451
23562;95358;411.505
04924;51065;447.876
13127;69121;485.463
64287;66346;146.138
04720;73566;349.599
09557;88284;415.715
87672;97849;262.267
32547;48619;118.833
73272;82377;162.279
58454;83043;520.784
37444;56333;261.459
50767;91338;344.154
23879;72226;577.24
28357;29649;78.0171
83022;97616;308.549
09518;82069;316.119
28879;89520;502.468
34560;91575;238.836
04651;95194;103.887
39606;96167;318.992
01129;38312;246.225
73105;76571;96.7509
08459;34474;249.262
36396;98739;127.726
48465;91350;390.424
57612;98716;225.233
79674;86508;231.245
32130;63826;229.82
45896;48599;65.1297
18311;95463;475.608
29591;93176;450.452
27639;76846;514.14
24361;73084;635.055
18258;49740;337.946
48477;75177;384.679
66955;97947;163.071
24321;94252;606.115
35102;56861;132.567
67259;82266;266.957
06116;94486;318.34
25856;56291;503.847
09116;54587;446.591
38551;85084;426.255
56269;69126;151.125
07586;10999;204.072
07558;30449;227.327
60306;83132;360.897
48734;88527;443.023
49811;78083;498.73
60599;94136;387.351
09481;89165;332.337
72589;97859;168.942
16727;83661;578.214
24988;83549;768.402
20148;54608;449.356
15749;31683;299.545
35435;54612;164.642
51709;86441;369.814
24398;74417;632.793
41541;47055;30.1927
04509;89079;391.682
77948;95515;302.054
67112;93104;296.77
49413;50678;208.881
38473;73240;439.575
17149;47809;586.649
21614;70567;528.895
63933;97422;76.4964
22045;49767;226.866
55128;79286;216.581
68305;91598;138.786
38271;82490;511.303
79592;86986;241.791
15299;92260;359.749
22929;76571;554.444
15806;54524;524.788
79865;92245;323.968
41239;72336;367.006
61250;96279;187.258
47798;56368;153.683
31135;80335;460.765
10789;86739;459.807
67686;83700;372.219
16230;34121;343.821
22043;35102;333.272
66113;96182;290.831
08645;45889;386.877
67159;89443;198.494
58675;63811;179.347
75394;94051;367.194
42113;92694;398.821
31167;56370;244.707
31552;42107;189.093
74336;88484;126.461
18442;24159;181.678
47198;63477;208.591
23758;54610;540.755
40219;82296;469.025
39126;79341;523.461
66352;88427;245.773
03119;63808;393.12
64291;74363;98.6815
13359;37216;281.921
23758;92533;536.854
06116;67258;341.279
84181;94315;60.0736
23749;93138;578.605
57644;97900;165.519
60528;86681;205.829
24811;85579;718.035
27809;48159;142.092
73431;92334;105.624
12681;98574;294.124
01069;91719;312.682
25876;44532;331.115
76779;83627;296.562
36419;79104;336.304
65396;66903;89.5743
34549;97292;159.929
59590;95488;280.423
09419;58509;379.751
67157;72362;154.991
84104;85095;43.7358
75050;97357;125.24
53359;89185;337.863
78234;83324;288.484
16816;37351;245.445
47447;73269;365.258
66629;76831;73.5454
24960;72226;695.011
51149;59519;98.9423
02943;38274;307.571
56587;72654;251.255
06846;78183;512.993
24620;78355;691.822
79348;91074;266.339
33175;97253;254.361
24640;93485;556.187
34314;63110;159.258
03159;78083;589.004
77886;87634;190.331
27729;66538;459.51
06780;85464;378.281
21730;29345;136.282
93149;97283;170.491
04103;07806;81.9232
57482;93182;355.244
21770;35606;349.05
74889;92708;233.624
53797;73432;310.14
23689;31619;184.274
04178;95469;168.485
72658;97535;174.796
48624;75433;362.436
21723;79418;664.103
84032;87778;137.121
33449;40629;114.572
23896;88682;661.102
76473;90537;232.239
78727;97534;217.292
10789;71732;496.865
75378;99894;267.244
26969;84508;675.926
78183;82335;214.208
24852;94255;669.856
23717;64839;488.994
01824;81379;359.975
08261;23858;403.777
52459;55566;145.57
15754;84574;470.034
49324;61169;211.955
86697;91798;41.0183
44267;77654;333.896
42651;47829;38.6783
07387;46149;340.741
46286;63871;248.454
91798;94424;144.797
24568;53489;413.196
67227;81735;287.779
48153;55543;235.149
17406;79695;797.481
21465;91616;462.384
12351;79379;660.37
64405;70180;113.733
23829;73326;590.909
13353;65468;453.457
34277;47906;213.143
04574;86554;298.886
63688;67292;121.136
47239;91555;359.678
79271;97253;228.259
14476;84155;453.362
39340;78144;508.847
01994;06347;156.469
85088;99947;269.693
45479;60388;194.219
27248;93497;478.869
17506;47179;524.977
47138;79691;414.739
34329;41189;228.778
34431;64342;188.571
29487;79686;627.529
02991;25821;494.804
07646;83339;333.015
30177;97346;305.123
44357;95189;341.147
37218;54614;274.212
10829;67699;510.46
34396;55127;185.837
37412;79276;433.618
09376;40233;416.158
83278;97478;280.871
64397;85635;291.342
38179;55597;330.431
29579;71665;468.049
73105;81241;145.936
86697;94252;157.553
28195;93348;527.881
22946;94163;577.321
21643;36364;309.887
54338;88099;325.016
15320;27578;391.202
64839;67122;61.2746
04703;78665;454.923
87776;89233;47.7578
20535;82041;627.503
33818;83533;504.507
37276;41199;252.834
29591;79683;625.806
74545;88276;143.448
19332;52078;457.909
45525;86987;474.503
34379;78647;374.781
15345;94360;410.662
24354;42555;396.919
30449;95666;323.627
17129;56427;532.887
26757;83451;780.221
82152;94261;163.923
23823;84097;597.504
28237;66123;447.621
69190;72534;127.861
07958;44807;348.893
52459;67748;160.174
06110;38315;116.102
45884;74354;314.431
14627;22607;237.704
73488;86391;85.3202
69115;76461;66.5036
37635;95701;284.749
47665;69493;285.305
29594;57632;333.594
92557;97270;198.77
20459;93358;552.059
06796;96123;200.496
32469;61276;234.039
09573;63860;280.497
30459;35043;184.197
09627;97725;259.97
17121;23611;161.619
29493;34434;223.87
04874;66424;474.088
49401;56317;224.561
01159;99958;206.303
28201;35260;247.954
76139;85774;253.917
27412;36272;273.63
73486;91628;54.7143
01612;54309;508.936
06725;72458;397.673
79219;94566;434.88
09376;21445;336.781
06188;60439;288.146
72213;93164;247.788
17309;97720;454.038
89073;94065;268.004
89610;90547;147.939
45133;85659;507.469
07349;54516;328.055
10781;95111;266.205
13593;49186;350.178
72294;73249;66.911
04158;45663;357.122
23777;45143;415.721
56579;74850;178.055
63931;74629;57.9027
92439;94538;100.21
26847;38384;249.116
54662;55432;73.6892
61206;95689;244.272
34471;91477;215.142
01169;66625;495.478
50825;74706;244.656
06484;57586;254.719
17493;71522;636.88
39279;55599;386.009
38707;95233;195.728
33659;94372;435.954
79859;99718;432.456
81379;97688;257.406
46286;66271;288.513
27568;96355;393.502
88079;99735;439.161
09468;87740;355.407
08233;87674;327.362
85419;91077;134.402
09603;38467;241.928
88079;95685;315.827
06295;29358;148.913
04758;79691;550.074
08427;18230;380.899
79206;97711;310.028
25582;94145;645.811
10779;86167;487.298
29683;79279;554.945
01909;97842;343.505
45470;57076;96.2668
48529;50999;169.346
56323;74391;179.081
04610;69514;308.505
10315;76275;537.446
02736;10963;177.462
24975;67361;616.921
14624;53925;502.712
38322;56599;290.908
39615;73117;488.809
70563;74936;59.9878
72800;76855;128.545
16547;16909;73.4014
12203;73566;475.067
31029;91353;278.695
72820;89176;76.1475
79211;87527;190.222
65552;83567;397.262
38464;86470;456.235
86653;97799;178.784
33330;44795;96.5399
01705;15299;144.759
39517;96164;282.151
35287;50321;143.095
12059;59556;365.529
49434;82541;565.029
54459;90469;324.942
24143;32049;260.418
29308;56767;337.995
56321;72275;220.851
45259;93199;456.893
66976;92714;349.267
45476;72584;373.667
84101;84489;81.0672
57520;66625;142.406
09358;10785;193.673
36399;85646;310.287
75236;91719;154.394
16845;80337;529.715
53925;93086;454.108
26892;54293;355.513
19059;24539;102.827
74429;97422;126.715
44629;79594;442.266
06766;94255;298.044
08355;53919;423.946
01279;56598;459.402
84171;97723;257.393
04934;10367;113.255
07551;64850;243.578
01587;23909;317.457
37635;93483;367.22
74382;79807;164.515
48231;71106;363.956
36419;91469;142.604
26553;93053;613.359
33334;74427;340.018
34537;93170;315.363
09356;72296;395.133
14197;64760;5.56474e+009
23847;25764;114.775
29378;96176;283.047
13129;92237;364.032
30521;47226;235.373
47802;59821;102.67
95352;98666;62.0838
82491;94148;194.198
55774;78465;249.03
13629;55774;523.222
53562;76779;187.222
25996;82065;800.428
24107;67061;553.221
15537;82407;535.809
59199;85405;447.197
56812;72574;246.809
32547;79692;501.824
01187;93482;209.963
03229;83673;478.053
21649;65193;376.839
17358;25590;297.558
78112;83022;284.379
70174;89551;68.6765
23715;27729;137.909
21339;53518;399.519
66773;85662;384.034
38700;86381;384.974
66904;95233;322.906
24244;88069;750.618
27574;89368;578.479
09648;18556;405.926
32791;67659;289.486
44577;76437;304.948
29699;42655;264.05
79805;96260;335.147
72218;79112;103.896
03226;97285;386.024
01990;41069;511.395
61279;73553;191.924
04463;42289;366.317
44137;95356;326.694
74626;83119;252.368
71254;89293;114.181
22956;38329;169.631
24863;47447;381.067
45309;55471;170.583
30900;61352;270.187
27578;73579;532.939
39435;87727;430.829
34355;73463;276.292
35625;77784;238.44
36137;93077;258.487
56346;69493;102.4
25365;79369;643.08
35633;87746;310.819
08297;96123;149.409
22301;33824;198.389
09435;93083;205.618
21702;35285;270.613
76779;83561;315.341
09638;71579;346.434
49744;79780;545.482
67549;86675;205.228
53604;54341;104.727
20144;56130;391.76
94158;94377;77.668
35112;65553;55.4514
21765;29308;138.674
28199;49843;142.951
49324;72461;442.093
13347;97276;389.095
02625;65385;480.212
02733;25365;445.786
24250;42111;380.244
36251;39446;169.087
37351;91728;253.888
24640;42349;356.336
48346;93128;444.095
03130;86733;407.934
39359;76532;452.598
27476;31789;202.734
13467;33729;325.597
16248;41069;556.497
33165;48691;152.218
64372;88316;253.379
14055;24539;276.705
56651;56743;10.9948
18609;67657;680.776
64404;86492;247.284
21649;38556;120.022
18246;18442;81.0551
56191;94339;398.287
65193;86703;241.123
01904;09236;102.44
23936;26529;260.816
27578;92720;489.919
18292;84431;603.173
